name,class,fault_id,county,length_km,time,slip_rate
lee flat fault zone,A,521,inyo,9,latest Quaternary (<15 ka),Unspecified
"lenwood-lockhart fault zone, lenwood section",A,111b,san bernardino,74,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"lenwood-lockhart fault zone, lockhart section",A,111a,kern,69,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
likely fault zone,A,5,modoc,92,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
lion's head fault zone,A,83,santa barbara,69,late Quaternary (<130 ka),Unspecified
little grass valley fault,A,205,plumas,NA,late Quaternary (<130 ka),Unspecified
little indian valley fault,A,167,colusa,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
little lake fault zone,A,72,kern,54,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
little pine fault zone,A,255,santa barbara,43,late Quaternary (<130 ka),Unspecified
little salmon fault (offshore),A,14,humboldt,49,latest Quaternary (<15 ka),Unspecified
little salmon fault zone,A,15,humboldt,91,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
livermore fault,A,398,alameda,7,undifferentiated Quaternary (<1.6 Ma),Unspecified
llano fault,A,324,los angeles,7,latest Quaternary (<15 ka),Unspecified
long canyon fault,A,337,san bernardino,19,latest Quaternary (<15 ka),Unspecified
long valley fault zone,A,437,mono,42,undifferentiated Quaternary (<1.6 Ma),Unspecified
loon point fault,A,434,santa barbara,1,latest Quaternary (<15 ka),Unspecified
los alamos fault,A,85,santa barbara,33,latest Quaternary (<15 ka),Unspecified
"los osos fault zone, estero bay section",A,79a,san luis obispo,NA,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
"los osos fault zone, irish hills section",A,79b,san luis obispo,NA,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"los osos fault zone, lopez reservoir section",A,79c,san luis obispo,NA,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
